S27820,2003-024A,AMC 9,Americom 9,2457866.97,2017 Apr 23 1115,GEO/S,1436.084,35774,35798,0.02,83.03W,0.004W
S27831,2003-028B,Optus and Defense C1,Optus C1/D,2457867.36,2017 Apr 23 2032,GEO/S,1436.101,35776,35797,0.06,156.00E,0.008W
S27825,2003-026A,Thuraya 2,Thuraya 2,2457867.37,2017 Apr 23 2052,GEO/I,1436.066,35765,35806,4.87,44.00E,0.001E
S27852,2003-033A,Echostar XII,Rainbow 1,2457866.89,2017 Apr 23 926,GEO/S,1436.128,35783,35791,0.02,61.18W,0.015W
S27854,2003-034A,Echostar IX,Echostar IX,2457866.98,2017 Apr 23 1136,GEO/S,1436.08,35773,35798,0.01,121.01W,0.003W
S27875,2003-040A,DSCS III B-6,DSCS III B-6,2457861.24,2017 Apr 17 1746,GEO/I,1436.122,35770,35803,3.6,42.43W,0.014W
S27937,2003-041A,USA 171,ORION 5,2457805.08,2017 Feb 20 1357,GEO/I,1436.122,35585,35988,9.1,67.87E,0.014W
S27948,2003-043A,EUTELSAT 31A,e-Bird,2457867.35,2017 Apr 23 2023,GEO/S,1436.124,35777,35796,2.26,30.86E,0.014W
S27954,2003-044A,Galaxy 13,Galaxy XIII/Horizons 1,2457866.97,2017 Apr 23 1111,GEO/S,1436.124,35783,35790,0.05,126.99W,0.014W
S28082,2003-052A,Zhongxing 20,Shentong yi hao 01 xing,2457867.36,2017 Apr 23 2032,GEO/I,1436.086,35769,35803,3.4,103.26E,0.004W
S28089,2003-053A,Yamal-202,Yamal-200 No. 2,2457867.37,2017 Apr 23 2052,GEO/S,1436.076,35771,35801,0.06,48.95E,0.002W
S28117,2003-057A,UHF F/O F11,UHF F/O F11,2457804.97,2017 Feb 20 1117,GEO/I,1436.122,35767,35807,4.86,75.33E,0.014W
S28134,2003-060A,Ekspress AM-22,Sesat-2,2457867.37,2017 Apr 23 2059,GEO/S,1436.096,35786,35787,0.34,80.11E,0.007W
S28132,2003-059A,Amos 2,Amos-2,2457866.89,2017 Apr 23 926,GEO/D,1448.893,36024,36048,0.61,64.75W,3.195W
S28154,2004-003A,AMC 10,AMC-10,2457866.93,2017 Apr 23 1022,GEO/S,1436.102,35775,35797,0.01,134.99W,0.008W
S28158,2004-004A,DSP F22,DSP F22,2457787.08,2017 Feb 2 1353,GEO/I,1436.122,35762,35811,7.54,65.60E,0.014W
S28184,2004-007A,ABS-4,MBSAT,2457867.09,2017 Apr 23 1412,GEO/S,1436.086,35778,35794,0.02,60.99E,0.004W
S28187,2004-008A,EUTELSAT 7A,Eutelsat W3A,2457867.34,2017 Apr 23 2004,GEO/S,1436.076,35773,35798,0.07,7.04E,0.002W
S28238,2004-016A,DirecTV 7S,DirecTV 7S,2457866.98,2017 Apr 23 1136,GEO/S,1436.089,35774,35798,0.03,119.08W,0.005W
S28252,2004-017A,AMC 11,Americom 11,2457866.91,2017 Apr 23 951,GEO/S,1436.099,35775,35797,0.01,131.00W,0.008W
S28358,2004-022A,INTELSAT 10-02,INTELSAT 10-02,2457866.74,2017 Apr 23 551,GEO/S,1435.761,35773,35786,0.01,0.97W,0.077E
S28364,2004-024A,Telstar 18,Apstar 5,2457867.31,2017 Apr 23 1928,GEO/S,1436.104,35773,35799,0.07,137.97E,0.009W
S28378,2004-027A,Anik F2,Anik F2,2457866.98,2017 Apr 23 1136,GEO/S,1436.089,35785,35787,0.03,111.06W,0.005W
S28393,2004-031A,Amazonas-1,Amazonas,2457866.75,2017 Apr 23 606,GEO/S,1436.075,35768,35803,1.64,36.21W,0.002W
S28446,2004-041A,AMC 15,AMC-15,2457867.08,2017 Apr 23 1359,GEO/S,1436.131,35779,35794,0.02,105.08W,0.016W
S28472,2004-048A,AMC 16,AMC 16,2457867.02,2017 Apr 23 1230,GEO/S,1436.089,35774,35798,0.04,85.01W,0.005W
S28526,2005-003A,NSS 10,Americom 12,2457866.88,2017 Apr 23 912,GEO/S,1436.096,35775,35797,0.03,37.46W,0.007W
S28542,2005-005A,XTAR-EUR,XTAR-EUR,2457866.83,2017 Apr 23 757,GEO/S,1436.135,35775,35798,0.02,29.00E,0.017W
S28626,2005-008A,XM-3,XM Radio-3,2457867.02,2017 Apr 23 1230,GEO/S,1436.26,35785,35793,0.01,85.11W,0.048W
S28628,2005-009A,INMARSAT 4 F1,INMARSAT 4 F1,2457866.54,2017 Apr 23 104,GEO/S,1436.1,35773,35799,2.87,143.49E,0.008W
S28638,2005-012A,Apstar 6,Apstar 6,2457867.18,2017 Apr 23 1616,GEO/S,1436.065,35775,35796,0,134.01E,0.001E
S28644,2005-015A,Spaceway 1,Spaceway 1,2457866.98,2017 Apr 23 1138,GEO/S,1436.097,35785,35787,0.01,102.91W,0.007W
S28659,2005-019A,DirecTV-8,DirecTV-8,2457866.19,2017 Apr 22 1639,GEO/S,1436.121,35773,35800,0.02,100.88W,0.013W
S28702,2005-022A,Galaxy 28,IA-8,2457866.94,2017 Apr 23 1040,GEO/S,1436.155,35781,35794,0.01,89.02W,0.022W
S28707,2005-023A,Ekspress AM-3,Ekspress AM-3,2457867.42,2017 Apr 23 2203,GEO/S,1436.092,35780,35792,0,103.01E,0.006W
S28786,2005-028A,Thaicom 4,iPSTAR 1,2457866.36,2017 Apr 22 2033,GEO/S,1436.155,35779,35795,0.01,119.49E,0.022W
S28790,2005-030A,Galaxy 14,Galaxy 14,2457866.97,2017 Apr 23 1111,GEO/S,1436.134,35778,35796,0.02,125.03W,0.017W
S28868,2005-036A,Anik F1R,Anik F1R,2457866.93,2017 Apr 23 1023,GEO/S,1436.124,35775,35799,0.02,107.32W,0.014W
